Date,Time, MagX , MagY , MagZ , AccX , AccY , AccZ , GyroX , GyroY , GyroZ , Temp , Humid , Roll , Pitch , Yaw
2021/10/13,42:43.6,45.5,31.75,130.875,0.025,-0.002,1.032,-0.03,-0.061,0,30.14,30.83,-1.64,-0.4,140.34
2021/10/13,42:44.6,44.875,29.75,128.125,0.026,-0.001,1.032,0,-0.061,-0.03,30.17,30.81,-1.74,-0.5,140.43
2021/10/13,42:45.6,42.875,36.625,129.25,0.025,-0.003,1.032,-0.03,-0.061,-0.03,30.2,30.82,-1.42,-0.17,140.27
2021/10/13,42:46.6,41.5,33.875,129,0.025,-0.001,1.032,0.03,-0.061,-0.03,30.17,30.81,-1.31,-0.03,140.21
2021/10/13,42:47.6,44.125,33.75,130,0.025,-0.002,1.031,-0.03,-0.061,-0.061,30.19,30.8,-1.35,-0.07,140.22
2021/10/13,42:48.6,44.875,33.625,127.875,0.025,-0.002,1.031,0.03,-0.061,-0.061,30.18,30.8,-1.4,-0.13,140.25
2021/10/13,42:49.6,43.125,30.875,130.625,0.024,-0.002,1.032,-0.03,-0.061,0.03,30.2,30.8,-1.48,-0.22,140.3
2021/10/13,42:50.6,45.625,33.375,132.875,0.025,-0.001,1.032,0.03,-0.061,-0.03,30.18,30.8,-1.51,-0.24,140.33
2021/10/13,42:51.6,43.875,36.625,128.875,0.025,-0.003,1.031,0,-0.091,-0.091,30.16,30.81,-1.33,-0.06,140.22
2021/10/13,42:52.6,45.5,34.25,132.875,0.025,-0.001,1.033,0.03,-0.091,-0.03,30.19,30.81,-1.38,-0.1,140.25
2021/10/13,42:53.6,44.875,33.75,127.875,0.025,-0.002,1.032,-0.03,-0.061,0,30.18,30.81,-1.41,-0.14,140.27
2021/10/13,42:54.6,42.5,34.5,129.75,0.025,-0.003,1.032,-0.03,-0.03,-0.03,30.22,30.81,-1.32,-0.04,140.21
2021/10/13,42:55.6,43.375,33.625,128,0.025,-0.003,1.031,0.03,-0.061,0,30.2,30.8,-1.33,-0.06,140.21
2021/10/13,42:56.6,41.25,35.25,131.25,0.025,-0.002,1.031,0,-0.091,-0.03,30.21,30.8,-1.2,0.1,140.12
2021/10/13,42:57.6,45.625,31.875,128.25,0.025,-0.003,1.031,-0.061,-0.091,0,30.25,30.82,-1.41,-0.17,140.23
2021/10/13,42:58.6,44,38.125,130.625,0.024,-0.002,1.031,-0.03,-0.061,-0.03,30.27,30.83,-1.21,0.05,140.11
2021/10/13,42:59.5,42.25,36.25,124.25,0.025,-0.002,1.031,-0.03,-0.122,0,30.26,30.81,-1.13,0.17,140.02
2021/10/13,43:00.5,42.375,33.625,130.25,0.024,-0.003,1.031,-0.03,-0.091,-0.061,30.28,30.8,-1.19,0.09,140.02
2021/10/13,43:01.5,46.125,32.875,129.75,0.025,-0.002,1.031,0,-0.091,-0.061,30.3,30.77,-1.38,-0.14,140.12
2021/10/13,43:02.5,46.75,32.375,129,0.024,-0.002,1.032,0.03,-0.061,-0.03,30.28,30.77,-1.52,-0.32,140.22
2021/10/13,43:03.5,45.125,34.75,125.875,0.025,-0.002,1.032,0,-0.152,0,30.3,30.76,-1.48,-0.24,140.2
2021/10/13,43:04.5,43,31.5,127.125,0.025,-0.001,1.032,0.03,-0.091,0,30.31,30.74,-1.51,-0.25,140.23
2021/10/13,43:05.5,44.5,31.375,129.875,0.025,-0.002,1.033,0,-0.061,0,30.31,30.74,-1.57,-0.34,140.29
2021/10/13,43:06.5,45.625,36.25,131.75,0.024,-0.003,1.032,0.03,-0.091,0.03,30.33,30.74,-1.45,-0.19,140.23
2021/10/13,43:07.5,44.375,31.875,127.875,0.024,-0.002,1.032,-0.03,-0.03,0,30.3,30.72,-1.51,-0.28,140.29
2021/10/13,43:08.5,40.875,33.75,123.125,0.026,-0.002,1.032,-0.03,-0.03,0,30.34,30.72,-1.35,-0.1,140.2
2021/10/13,43:09.5,42.5,32.5,129.5,0.024,-0.003,1.032,-0.03,-0.03,0,30.33,30.72,-1.36,-0.11,140.2
2021/10/13,43:10.5,41.875,30.625,133,0.025,-0.001,1.031,0,-0.091,-0.091,30.29,30.7,-1.42,-0.16,140.23
2021/10/13,43:11.5,44.875,33.375,131.375,0.026,-0.002,1.033,0,-0.091,-0.061,30.34,30.7,-1.46,-0.19,140.25
2021/10/13,43:12.5,39.75,33.25,125,0.024,-0.002,1.03,-0.03,-0.061,-0.03,30.33,30.68,-1.3,-0.01,140.16
2021/10/13,43:13.5,45.5,35.25,128.875,0.024,-0.002,1.031,0.03,-0.091,-0.03,30.32,30.7,-1.32,-0.05,140.17
2021/10/13,43:14.5,50,34.5,129.75,0.024,-0.002,1.031,-0.03,-0.03,-0.061,30.3,30.67,-1.5,-0.28,140.29
2021/10/13,43:15.5,46.125,31.625,133,0.024,-0.002,1.031,0.03,-0.122,-0.03,30.33,30.65,-1.59,-0.39,140.37
2021/10/13,43:16.5,43.375,35.5,119.625,0.025,-0.003,1.032,0.03,-0.091,-0.03,30.34,30.65,-1.41,-0.18,140.27
2021/10/13,43:17.5,45.75,37.625,134.375,0.026,-0.001,1.031,0.03,-0.091,0,30.3,30.64,-1.31,-0.03,140.2
2021/10/13,43:18.5,43.375,34,129.5,0.025,-0.001,1.031,0.03,-0.122,-0.061,30.28,30.62,-1.32,-0.02,140.19
2021/10/13,43:19.5,44,32.625,132.25,0.025,-0.001,1.032,-0.03,-0.061,0,30.28,30.64,-1.39,-0.1,140.22
2021/10/13,43:20.5,41.875,31,122.5,0.025,-0.001,1.031,-0.03,-0.061,0.03,30.29,30.64,-1.44,-0.16,140.26
2021/10/13,43:21.5,41.625,33.125,129.75,0.026,-0.002,1.03,0.061,-0.03,-0.03,30.29,30.64,-1.37,-0.07,140.22
2021/10/13,43:22.5,44.875,34.875,127.5,0.024,-0.003,1.031,0,-0.091,0,30.28,30.64,-1.36,-0.08,140.21
2021/10/13,43:23.5,40.625,32.875,128.5,0.024,-0.002,1.031,0.03,-0.122,-0.061,30.24,30.65,-1.29,0,140.16
2021/10/13,43:24.5,43.875,35.625,127.375,0.025,-0.002,1.031,0.091,0,0,30.25,30.67,-1.26,0.05,140.12
2021/10/13,43:25.5,42.75,34.5,131.125,0.025,-0.002,1.031,0,-0.061,-0.03,30.24,30.68,-1.25,0.06,140.09
2021/10/13,43:26.5,45.625,30.625,129.75,0.024,-0.002,1.032,-0.03,-0.091,0,30.2,30.69,-1.48,-0.24,140.24
2021/10/13,43:27.5,44.25,32.5,131.875,0.026,-0.002,1.031,0.061,-0.061,-0.03,30.18,30.7,-1.51,-0.26,140.26
2021/10/13,43:28.5,44.375,31.75,128.375,0.025,-0.003,1.03,0,-0.03,0.03,30.17,30.73,-1.55,-0.33,140.31
2021/10/13,43:29.5,44.25,33.125,132.625,0.024,-0.002,1.032,-0.03,-0.03,-0.03,30.14,30.76,-1.51,-0.27,140.3
2021/10/13,43:30.5,45.125,35.125,131,0.025,-0.002,1.031,0.03,-0.061,-0.03,30.17,30.8,-1.44,-0.18,140.27
2021/10/13,43:31.5,42.125,32.875,133.125,0.025,-0.003,1.03,0.03,-0.061,0,30.11,30.82,-1.39,-0.12,140.24
2021/10/13,43:32.5,43.375,37.375,129.625,0.024,-0.002,1.03,0.03,-0.091,0.03,30.06,30.82,-1.22,0.07,140.13
2021/10/13,43:33.5,45.875,35.125,132.5,0.025,-0.002,1.03,0.03,-0.061,-0.03,30.07,30.85,-1.29,-0.01,140.15
2021/10/13,43:34.5,44.75,32.625,132.625,0.026,-0.001,1.031,0.03,-0.091,0,30.05,30.86,-1.42,-0.13,140.21
