Date ,Time, MagX , MagY , MagZ , AccX , AccY , AccZ , GyroX , GyroY , GyroZ , Temp , Roll , Pitch , Yaw
2021/10/13,15:49.6,44.375,-8192.75,141.125,-0.007,-0.023,1.035,0.03,-0.03,0.091,28.23,-2.47,1.88,-91.94
2021/10/13,15:50.6,25.75,-8197.75,128,-0.181,-0.143,1.199,-2.957,1.159,0.884,28.14,-0.04,-0.11,-91.53
2021/10/13,15:51.6,39.25,37.25,122.75,0.006,0.086,0.935,-3.567,2.713,-0.854,28.14,-3.02,8.85,-93.71
2021/10/13,15:52.6,26.875,42.375,120.25,-0.088,0.117,0.947,3.689,-10.518,-9.299,28.13,-3.27,13.76,-95.09
2021/10/13,15:53.6,33.625,45.125,126.5,-0.114,0.027,0.855,1.372,-4.604,-4.146,28.12,-3.15,15.06,-95.93
2021/10/13,15:54.6,43,61.125,117.625,0,0.099,0.92,7.409,-2.256,20.701,28.12,-5.41,19.71,-96.57
2021/10/13,15:55.6,20,57.5,118.875,0.15,0.164,0.943,39.421,9.573,12.134,28.04,-6.48,22.18,-96.08
2021/10/13,15:56.6,42.375,39.375,120.625,0.142,0.032,1.092,-11.037,37.652,20.823,28.06,-7.66,18.97,-94.73
2021/10/13,15:57.6,22.625,32.125,122.75,-0.4,-0.098,0.71,-0.549,9.482,-11.89,27.97,-0.15,14.18,-95.18
2021/10/13,15:58.6,41.25,28.5,125.25,-0.015,-0.049,1.05,8.537,-4.756,8.415,27.99,-3.53,14.33,-96.04
2021/10/13,15:59.6,43,31.125,131.5,0,-0.047,1.034,0.396,0.03,-0.091,28.02,-5.44,13.47,-96.73
2021/10/13,16:00.6,43.125,29.125,132.125,0,-0.045,1.032,0.213,0,0.061,27.93,-6.58,12.42,-97.18
2021/10/13,16:01.6,43.375,27.5,134.25,0,-0.041,1.033,0.122,0,0.03,27.97,-7.24,11.41,-97.51
2021/10/13,16:02.6,43.25,30.375,128.5,0.001,-0.041,1.034,0.091,0.061,0.03,27.97,-7.73,11.18,-97.93
2021/10/13,16:03.6,39.125,32,128,-0.001,-0.038,1.034,0.091,0,0.061,27.95,-7.7,10.85,-98.2
